Distance,Mass,Radius
1.5813e-05,1.0,1.0
8.6,2.1,1.71
310.0,15.0,71.0
4.4,1.1,1.2
37.0,1.1,26.0
25.0,2.2,2.7
43.0,2.6,12.0
860.0,23.0,78.9
11.4,1.5,1.9
640.0,20.0,950.0
144.0,6.7,9.3
390.0,10.5,8.6
17.0,1.8,1.8
320.0,18.0,8.9
65.0,1.5,44.0
600.0,12.0,680.0
260.0,11.43,7.47
34.0,1.9,8.8
25.0,1.9,1.8
2.6,19.0,203.0
350.0,16.0,8.4
77.0,3.8,3.1
430.0,12.5,14.0
700.0,14.5,8.8
52.0,2.8,2.4
88.0,1.5,84.0
240.0,8.6,5.8
130.0,5.0,4.2
110.0,3.5,6.8
2.0,32.0,42.0
1.1,9.0,6.0
81.0,2.9,4.2
1050.0,33.0,20.0
120.0,4.25,30.0
590.0,8.5,68.0
1.6,17.0,200.0
270.0,5.7,26.0
140.0,3.5,6.8
630.0,9.0,130.0
104.0,6.1,3.4
81.0,2.39,2.77
390.0,7.0,92.0
109.0,2.8,3.3
180.0,5.9,4.8
80.0,2.4,2.9
500.0,13.5,10.0
430.0,5.4,39.0
180.0,3.0,50.0
196.0,2.1,95.0
653.0,15.0,140.0
360.0,2.8,280.0
11.9,0.783,0.893
19.92,0.991,1.22
10.48,0.82,0.74
8.9,20.0,485.0
7.5,100.0,60.0
887.0,4.5,44.5
6.0,19.2,972.0
44.25,1.27,1.48
8.154,22.0,636.0
5.545,30.0,76.0
4.9,18.2,516.0
11.41,0.7,0.665
178.0,0.7,298.0
281.0,1.59,3.74
4.566,0.85,85.0
36.1,0.76,0.94
300.0,1.2,370.0
14.0,13.9,1.158
12.87,0.6,0.51
130.0,0.8,3.4
3.9,17.0,1.42
25.0,100.0,320.0
169.0,24.0,380.0
5.1,7.0,755.0
5.98,0.14,0.2
4.25,0.12,0.15
1.47,1.43,1.58
163.0,290.0,32.0
163.0,189.0,21.1
18.134,19.0,0.39
164.0,57.48,14.47
2.772,1.01,0.99
47.5,0.16,0.21
5.251,50.0,1.64
18.72,0.075,0.1
163.0,20.0,1.54
39.6,0.089,0.12
40.3,0.07,0.086
13.54,46.1,0.045820224
2.0,192.0,0.018137172
37.7,0.075412452,0.11201167
236.0,0.029592228,0.1479787199999999
87.2,0.051547752,0.1007077399999999
131.0,0.027683052,0.1469510899999999
31.0,0.040092696,0.0965972199999999
28.6,0.040092696,0.0965972199999999
57.0,0.021955524,0.16647606
40.0,0.011455056,0.1335918999999999
34.0,0.03818352,0.0965972199999999
96.0,0.027683052,0.1469510899999999
70.0,0.049638576,0.1007077399999999
51.0,0.049638576,0.1007077399999999
163.0,0.01909176,0.16647606
130.0,0.01909176,0.16544843
70.0,0.044865636,0.0996801099999999
111.0,0.044865636,0.0996801099999999
101.0,0.01431882,0.15722739
155.0,0.01909176,0.16647606
152.0,0.025773876,0.1448958299999999
35.0,0.031501404,0.1017353699999999
53.0,0.074457864,0.11098404
12.578,0.07636704,0.1305090099999999
184.0,0.06204822,0.1952496999999999
24.0,0.06204822,0.1952496999999999
16.2,0.07636704,0.0996801099999999
45.0,0.046774812,0.0996801099999999
47.0,0.084003744,0.1181774499999999
192.0,0.021955524,0.17058658
59.0,0.04295646,0.0976248499999999
80.0,0.017182584,0.1335918999999999
98.0,0.051547752,0.1007077399999999
27.0,0.069684924,0.10687352
20.9,0.069684924,0.1469510899999999
88.0,0.070639512,0.10790115
380.0,0.05250234,0.3884441399999999
48.0,0.097367976,0.1305090099999999
29.8,0.01909176,0.13564716
18.6,0.02863764,0.0976248499999999
85.0,0.07636704,0.11201167
34.0,0.0954588,0.1294813799999999
142.0,0.037228932,0.2024431099999999
29.5,0.045820224,0.0996801099999999
82.0,0.021000936,0.1829181399999999
42.0,0.061093632,0.102763
69.0,0.00099277152,7.398935999999999
44.0,0.061093632,0.102763
64.0,0.020046348,0.1418129399999999
73.0,0.044865636,0.0996801099999999
40.0,0.064911984,0.10379063
41.62,0.058229868,0.10379063
34.6,0.026728464,0.1448958299999999
102.0,0.036274344,0.15517213
39.0,0.053456928,0.1017353699999999
65.0,0.063957396,0.10379063
51.0,0.0715941,0.10790115
60.0,0.068730336,0.10584589
13.4,0.024819288,0.1007077399999999
29.6,0.039138108,0.0965972199999999
25.8,0.035319756,0.0965972199999999
49.0,0.041047284,0.0965972199999999
55.0,0.067775748,0.10584589
60.0,0.00191872188,6.987883999999999
16.1,0.042001872,0.0965972199999999
35.0,0.049638576,0.1007077399999999
43.0,0.045820224,0.1017353699999999
55.0,0.084003744,0.1181774499999999
77.0,0.043911048,0.0986524799999999
23.53,0.059184456,0.102763
43.0,0.061093632,0.102763
27.6,0.073503276,0.10995641
50.0,0.0477294,0.1007077399999999
20.0,0.040092696,0.0965972199999999
17.4,0.030546816,0.0976248499999999
59.0,0.046774812,0.0986524799999999
46.0,0.042001872,0.0965972199999999
55.0,0.048683988,0.1007077399999999
60.0,0.025773876,0.1448958299999999
53.0,0.046774812,0.0996801099999999
34.4,0.040092696,0.0965972199999999
13.15,0.073503276,0.10995641
6.516,0.041047284,0.10481826
6.516,0.03818352,0.10379063
49.0,0.061093632,0.102763
180.0,0.034365168,0.24560357
163.0,0.007636704,0.1849733999999999
63.0,0.008591292,0.12742612
18.2,0.031501404,0.0986524799999999
137.0,0.02863764,0.2260786
129.0,0.035319756,0.1541445
31.0,0.061093632,0.102763
217.0,0.016227996,0.17572473
36.0,0.040092696,0.0965972199999999
45.6,0.039138108,0.0965972199999999
262.0,0.001909176,2.569075
38.0,0.044865636,0.1007077399999999
61.0,0.060139044,0.1007077399999999
61.0,0.055366104,0.1007077399999999
101.0,0.063957396,0.10379063
65.0,0.048683988,0.0996801099999999
48.0,0.042001872,0.0965972199999999
51.0,0.060139044,0.102763
29.7,0.030546816,0.0986524799999999
149.0,0.056320692,0.1017353699999999
38.0,0.020046348,0.13564716
38.5,0.072548688,0.10892878
47.0,0.068730336,0.10584589
72.0,0.087822096,0.1222879699999999
47.0,0.056320692,0.1017353699999999
104.0,0.0105959268,0.1541445
104.0,0.008591292,0.1335918999999999
35.1,0.0715941,0.10790115
20.7,0.042001872,0.0965972199999999
71.0,0.042001872,0.0965972199999999
46.0,0.065866572,0.10481826
23.9,0.05727528,0.1017353699999999
53.0,0.075412452,0.11098404
34.0,0.054411516,0.1017353699999999
67.0,0.051547752,0.1007077399999999
51.0,0.060139044,0.102763
37.0,0.042001872,0.0965972199999999
68.0,0.02863764,0.1469510899999999
44.0,0.067775748,0.10584589
48.0,0.040092696,0.0965972199999999
36.0,0.041047284,0.0965972199999999
110.0,0.067775748,0.10584589
50.0,0.046774812,0.0996801099999999
28.0,0.039138108,0.0965972199999999
60.0,0.069684924,0.10687352
114.0,0.022910112,0.1438681999999999
90.0,0.044865636,0.0996801099999999
39.0,0.04295646,0.0976248499999999
18.5,0.073503276,0.10995641
138.0,0.063957396,0.10379063
46.0,0.091640448,0.12537086
105.0,0.0238647,0.1931944399999999
65.0,0.043911048,0.0986524799999999
47.0,0.06682116,0.10481826
62.0,0.065866572,0.10481826
80.0,0.006204822,0.15722739
113.0,0.089731272,0.1243432299999999
32.1,0.043911048,0.0986524799999999
26.3,0.05250234,0.1017353699999999
93.0,0.021000936,0.13667479
154.0,0.025773876,0.1448958299999999
38.0,0.058229868,0.1017353699999999
35.0,0.040092696,0.0965972199999999
64.0,0.069684924,0.10687352
56.0,0.011455056,0.1325642699999999
56.0,0.022910112,0.1428405699999999
148.0,0.016227996,0.16339317
67.0,0.084003744,0.1192050799999999
74.0,0.07636704,0.11201167
20.0,0.005727528,0.1202327099999999
35.9,0.01431882,0.4316046
35.9,0.00954588,0.3904993999999999
25.3,0.02863764,0.08837618
